Disease,Symptoms,Precautions,Medicines,Prescriptions,Diet Plan,Food Restrictions
Type 2 Diabetes,"Increased thirst; Frequent urination; Increased hunger; Unexplained weight loss; Fatigue:contentReference[oaicite:0]{index=0}","Lose weight (5–7% body weight):contentReference[oaicite:1]{index=1}; Exercise regularly (≥150 min/week):contentReference[oaicite:2]{index=2}; Eat healthy (fruits, vegetables, whole grains, low fat):contentReference[oaicite:3]{index=3}; Drink water instead of sugary drinks:contentReference[oaicite:4]{index=4}; Avoid smoking","Metformin; Sitagliptin; Liraglutide; Glyburide; Empagliflozin","Metformin 500 mg oral twice daily for 12 weeks:contentReference[oaicite:5]{index=5}; Sitagliptin 100 mg oral once daily for 8 weeks:contentReference[oaicite:6]{index=6}; Liraglutide 0.6 mg SC daily ×1 wk then 1.2 mg SC daily for 7 wk:contentReference[oaicite:7]{index=7}; Glyburide 5 mg oral once daily for 8 weeks:contentReference[oaicite:8]{index=8}; Empagliflozin 10 mg oral once daily for 12 weeks:contentReference[oaicite:9]{index=9}","High-fiber foods (whole grains, vegetables):contentReference[oaicite:10]{index=10}; Leafy greens; Lean proteins (fish, chicken); Low-fat dairy; Nuts and legumes","Sugary beverages; Trans fats (fried foods); Excess sodium; High refined carbs; Excess alcohol"
Hypertension,"Often asymptomatic; Headaches; Shortness of breath; Nosebleeds:contentReference[oaicite:11]{index=11}; Fatigue","Lose weight (if overweight):contentReference[oaicite:12]{index=12}; Exercise regularly (e.g. 30 min daily):contentReference[oaicite:13]{index=13}; Eat healthy (fruits, vegetables, low-fat dairy):contentReference[oaicite:14]{index=14}; Reduce sodium intake:contentReference[oaicite:15]{index=15}; Quit smoking:contentReference[oaicite:16]{index=16}","Hydrochlorothiazide; Atenolol; Lisinopril; Losartan; Amlodipine","Hydrochlorothiazide 25 mg oral once daily for 8 weeks:contentReference[oaicite:17]{index=17}; Atenolol 50 mg oral once daily for 8 weeks:contentReference[oaicite:18]{index=18}; Lisinopril 10 mg oral once daily for 8 weeks:contentReference[oaicite:19]{index=19}; Losartan 50 mg oral once daily for 8 weeks:contentReference[oaicite:20]{index=20}; Amlodipine 5 mg oral once daily for 8 weeks:contentReference[oaicite:21]{index=21}","DASH diet (fruits, vegetables, whole grains):contentReference[oaicite:22]{index=22}; Leafy greens; Berries; Oats; Nuts","High-salt foods; Processed meats; Saturated fats (red meat, butter); Sugary drinks; Excess alcohol:contentReference[oaicite:23]{index=23}"
Coronary Artery Disease,"Chest pain/angina; Shortness of breath; Fatigue; Palpitations; Heart attack (if acute)","Quit smoking; Healthy diet (low saturated fat):contentReference[oaicite:24]{index=24}; Regular exercise:contentReference[oaicite:25]{index=25}; Control cholesterol and blood pressure; Manage diabetes","Aspirin; Atorvastatin; Metoprolol; Lisinopril; Nitroglycerin","Aspirin 81 mg oral once daily; Atorvastatin 20 mg oral once daily for 12 weeks:contentReference[oaicite:26]{index=26}; Metoprolol 50 mg oral twice daily for 8 weeks:contentReference[oaicite:27]{index=27}; Lisinopril 10 mg oral once daily for 8 weeks:contentReference[oaicite:28]{index=28}; Nitroglycerin 0.4 mg sublingual as needed for chest pain:contentReference[oaicite:29]{index=29}","""Mediterranean diet (olive oil, fish, vegetables); Fatty fish (omega-3); Leafy greens; Whole grains; Nuts and seeds""","""Saturated fats (butter, fried foods); Trans fats; High-cholesterol foods (organ meats); Excess sodium; Sugary foods"""
Asthma,"Wheezing (esp. with exertion); Chronic cough; Shortness of breath; Chest tightness; Symptoms worse at night or early morning:contentReference[oaicite:30]{index=30}","Avoid triggers (allergens, smoke, pollutants); Use inhalers regularly; Vaccinate (flu, pneumonia); Exercise with care; Maintain healthy weight","Albuterol; Fluticasone; Montelukast; Ipratropium; Cetirizine","Albuterol 2 puffs inhaled every 4–6 hr PRN; Fluticasone 110 mcg inhalation 2 puffs BID for 8 weeks:contentReference[oaicite:31]{index=31}; Montelukast 10 mg oral once daily at bedtime; Ipratropium 2 puffs inhaled QID as needed; Prednisone 40 mg oral daily for 5 days (exacerbation)","""Antioxidant-rich foods (fruits, vegetables); Omega-3 sources (fatty fish, flaxseed); Vitamin D-rich foods; Lean proteins; Hydration""","Avoid sulfites (wine, dried fruits):contentReference[oaicite:32]{index=32}; Dairy (if triggers mucus); Fried foods; High-histamine foods (aged cheese); Excess caffeine"
COPD,"Chronic productive cough; Shortness of breath (esp. on exertion); Wheezing; Chest tightness; Frequent respiratory infections:contentReference[oaicite:33]{index=33}:contentReference[oaicite:34]{index=34}","Quit smoking:contentReference[oaicite:35]{index=35}; Avoid pollutants/irritants; Vaccinate (flu, pneumonia); Exercise (pulmonary rehab); Nutrition to maintain weight","Albuterol; Ipratropium; Tiotropium; Fluticasone; Theophylline","Albuterol 2 puffs inhaled every 4–6 hr PRN; Ipratropium 2 puffs inhaled QID; Tiotropium 18 mcg inhalation once daily; Fluticasone/Salmeterol 250/50 mcg inhalation 1 puff BID; Prednisone 40 mg oral daily for 5 days","High-calorie nutrient-rich diet (whole grains, lean protein, fruits); Omega-3 fatty fish; Leafy greens; Nuts/seeds; Plenty of fluids","Smoking; Processed foods high in salt; Dairy (may thicken mucus); Fried and fatty foods; Excess simple carbohydrates"
Stroke,"Facial droop; Arm weakness (one side); Speech difficulty; Sudden vision change; Confusion; Headache (ischemic often painless, hemorrhagic acute):contentReference[oaicite:36]{index=36}","Control BP and diabetes; Quit smoking; Healthy diet (Mediterranean); Exercise; Treat atrial fibrillation (anticoagulation)","Aspirin; Clopidogrel; Atorvastatin; Lisinopril; Anticoagulant (e.g. Warfarin or DOAC)","Aspirin 81 mg oral once daily; Clopidogrel 75 mg oral once daily; Atorvastatin 80 mg oral once daily for 12 weeks; Lisinopril 10 mg oral once daily; Apixaban 5 mg oral BID (if AFib)","Whole grains; Leafy vegetables; Berries; Fatty fish (omega-3); Nuts","High-sodium foods; Saturated fats; Processed meats; Excess sweets; Excess alcohol"
Alzheimer's Disease,"Memory loss (recent events):contentReference[oaicite:37]{index=37}; Difficulty planning/solving problems; Confusion (time/place); Language problems; Misplacing items; Mood/personality changes","Mental stimulation (puzzles, learning):contentReference[oaicite:38]{index=38}; Regular exercise:contentReference[oaicite:39]{index=39}; Healthy diet (low fat, fruits/veg):contentReference[oaicite:40]{index=40}; Social engagement; Control cardiovascular risk factors","Donepezil; Memantine; Rivastigmine; Galantamine; Vitamin E","Donepezil 5 mg oral once daily at bedtime; Memantine 10 mg oral BID; Rivastigmine 9.5 mg transdermal patch weekly; Galantamine 4 mg oral BID; Vitamin E 1000 IU oral once daily","""Mediterranean diet (whole grains, vegetables, fruits):contentReference[oaicite:41]{index=41}; Nuts (walnuts); Leafy greens; Fish (omega-3); Berries (antioxidants)""","High saturated fat (red meat, cheese); Trans fats; Excess sugar; Processed foods; Excess alcohol"
Parkinson's Disease,"Tremor at rest; Bradykinesia (slowness of movement); Muscle rigidity; Postural instability; Masked facial expression","Regular exercise and stretching; Balanced diet with fiber; Sleep hygiene; Physical therapy; Avoid dopamine blockers","Levodopa/Carbidopa; Pramipexole; Ropinirole; Amantadine; Rasagiline","Levodopa/carbidopa 250/25 mg oral TID (start) for 8 weeks; Pramipexole 0.25 mg oral TID (gradually increase); Ropinirole 0.5 mg oral TID; Amantadine 100 mg oral BID; Rasagiline 1 mg oral once daily","High-fiber fruits and vegetables (prevent constipation); Omega-3 fish; Nuts; High-protein foods (evenly spaced); Hydration","Foods high in B6 (pyridoxine) at same time as medication; Aged cheeses (tyramine if on MAO-B inhibitors); Excess sodium; Processed foods; Large protein meals at dinner (can affect levodopa absorption)"
Depression,"Persistent sadness; Loss of interest (anhedonia); Fatigue; Sleep disturbances; Appetite change (weight loss/gain)","Regular physical activity; Healthy sleep routine; Social support; Stress management; Limit alcohol","SSRIs (e.g., Sertraline); SNRIs (e.g., Venlafaxine); Bupropion; Mirtazapine; Cognitive-behavioral therapy (CBT)","Sertraline 50 mg oral once daily for 8 weeks; Venlafaxine XR 37.5 mg oral once daily; Bupropion 150 mg oral BID; Mirtazapine 15 mg oral at bedtime; Refer for psychotherapy","Omega-3 fish (salmon); Folate-rich foods (leafy greens, beans); Whole grains; Lean protein; Fruits (antioxidant-rich)","Caffeine (may worsen anxiety); Excess alcohol; Refined sugars; Junk food; Trans fats"
Anxiety Disorder,"Excessive worry; Restlessness or feeling on edge; Muscle tension; Difficulty concentrating; Sleep disturbances; Irritability","Regular exercise; Mindfulness/relaxation; Adequate sleep; Limit caffeine; Support groups","SSRIs (e.g., Escitalopram); SNRIs (e.g., Duloxetine); Benzodiazepines (short-term, e.g., Lorazepam); Buspirone; Beta-blockers (Propranolol)","Escitalopram 10 mg oral once daily for 8 weeks; Duloxetine 30 mg oral once daily; Lorazepam 1 mg oral as needed (short-term); Buspirone 10 mg oral BID; Propranolol 10 mg oral PRN (performance anxiety)","Herbal teas (chamomile); Whole grains; Fruits and vegetables; Lean proteins; Magnesium-rich foods (nuts, seeds)","Caffeine; High-sugar foods; Excess alcohol; Nicotine; Stimulants (energy drinks)"
